PIPPO POLLINA,Canzoni segrete
SANTOIANNI,Non ho santi in paradiso
SICK LUKE,X2
BRUNORI SAS,Cheap!
MANI,Non cresciamo mai
GRANATO,Canzoni per giovani adulti
BAUTISTA,Emoton
COSTIERA,Ragazzini
DITONELLAPIAGA,Camouflage
EINAR,Instinto
FLO,Brave ragazze
FOLCAST,Tempisticamente
gIANMARIA,Fallirò
MARA SATTEI,Universo
MIRKO & VALERIO,The Violin twins
MURUBUTU,Storie di amore con pioggia e altri racconti di rovesci e temporali
NOYZ NARCOS,Virus
SAD,Sto nella sad
WING KLAN,Sky is the limit
SENZA_CRI,Salto nel vuoto
DALIA BUCCIANTI,Le storie di tutti
16GANG,Rumore
GUENDALINA,Piano sequenza
MIGLIO,Manifesti e immaginari sensibili
ZOOKA,Via
BALTO,Forse è giusto così
CECCO e CIPO,Co9n permesso
CILIARI,Lato C
FRANCESCO ANSELMO,Pluriball
FRANCO126,Uscire di scena
GALEA,Come gli Americani al ballo di fine anno
GEMELLO,La Quiete
IL PAGANTE,Devastante
KHARFI,Aquarium
LUDOVICO EINAUDI,Underwater
MARCELLO CAPOZZI,Offshore
MASSIMO ZAMBONI,La mia patria attuale
NIKO PANDETTA,Bella vita
PETER WHITE,Millisecondi
TANCREDI,Golden hour
MARIO PIGOZZO FAVERO,"Mi commuovo, se vuoi "
MARLON,Nova luz
MATTEO FERRARI,Maramao
RKOMI,Taxi Driver
SIANLOUT ,Frigobar
VERDENA,America Latina 
Enten Hitti ,Via Lattea
DITONELLAPIAGA,Camouflage
FABRIZIO MORO,La mia voce
FRANCO BATTIATO,Correnti gravitazionali
GIOVANNI TRUPPI,Tutto l’universo l’Antologia 
VERLINGIERI,Musica ritrovata
ACHILLE LAURO,Lauro
IVA ZANICCHI,Gargana
IMPERATORE,Voci dentro
BNKR44,Farsi male a noi va bene
ELISA,Ritorno al futuro
GIUSY FERRERI,Cortometraggi
RKOMI ,Taxi Driver
ROVERE ,Dalla Terra a Marte
THELONIOUS,THB I
THIRDSTON3,All you can eat
ANASTASIO,Mielemedicina
ARIETE,Specchio
CESARE CREMONINI,La ragazza del futuro
IOSONORAMA,Fenomeni paranormali
IRAMA,Il giorno in cui ho smesso di pensare
L’ELFO,Milord
MIKE LENNON,Itasian
MOX,Vita facile
VINNIE MARAKS,Giovane Cagliostro
BRESH,Oro blu
COOPER,Oscillazioni
DARGEN D’AMICO,Nei sogni nessuno è monogamo
DELLAI,Amico mio
GHIACCIO,Un giorno tutto questo ci farà ridere
GNUQUARTET ,Paganini
MT/SOLO,Pezzetti
NASHLEY,Osiride
RAFFAELLA CARRÀ, Joy
PLATINÌ,Una città dall’alto
TOM ARMATI,Tommasochista
TOMMASO PARADISO,Space Cowboys
CARAVANE DE VILLE,Dietro la porta
DIANA TEJERA,Libre
RAOUL MORETTI,Le intermittenze della vita
CELESTE,Universo
BALTIMORA,Marecittà
EMANUELE COLANDREA,Belli dritti sulla schiena
EVANDRO,Tutto
FULMINACCI,Tante care cose e altri successi
HU,Numeri primi
PAKY,Salvatore
ULISSE SCHIAVO,Precious Silver Grace
VARISCO,Settimana
KICK,Light Figures
CANDRA,Bonola Boy
D.In.Ge.Cc.O,Bacanadera
DI VIOLA MINIMALE,Tutto tranne l’essenziale
ENRICO RUGGERI,La rivoluzione
FABRI FIBRA,Caos
FRANCESCO FORNI,Una sceneggiata
GENERIC ANIMAL,Benevolent
MANUEL ZITO,Confindences
MARCO VEZZOSO e ALESSANDRO COLLINA, Kind of Vasco 
MASSIMO COPPOLA,Io vivo come te
RETTORE,Insistentemente Rettore
SHEL SHAPIRO,Quasi una leggenda
VISCONTI,DPCM
CAPPADONIA,Canzoni per adulti
GIOVANE GIOVANE,I Figli degli altri
NEREO,Danze cosmiche
24 GRANA,A raccolta
AXOS,Manie
C’MON TIGRE,Scenario
CALIFORNIA,Big sur
CARLO CORALLO,Quando le canzoni finiscono
COR VELENO e TRE ALLEGRI RAGAZZI MORTI,Meme K Ultra
GIANNI BISMARK,Bravi ragazzi
JAQUELINE,Giga
LOOMY,Loomyltà
MARTINA BELTRAMI,Cara me
MEDIUM,Disoriente
PAOLO VALLESI,Io + Noi
SGRIBAZ,Cosa saremo
ULTIMO,Solo Home Piano Session
AFTERSALSA,Fare tardi